query,std reasoner,std nodes explored,std min depth,success,time
1,std,21,6,True,0.004259131000000416
2,std,4,3,True,0.001981813000000443
3,std,23,6,True,0.0071536100000004765
4,std,12,8,True,0.0028578819999998117
5,std,4,3,True,0.0017692529999999707
6,std,19,6,True,0.005308251999999847
7,std,4,3,True,0.0020897419999998945
8,std,4,3,True,0.0015149240000003061
9,std,126,6,True,0.004576725999999809
10,std,2,1,True,0.0008013990000002025
11,std,2,1,True,4.382000000013875e-05
12,std,4,3,True,0.001763053999999542
13,std,7,6,True,0.002196400999999959
14,std,4,3,True,0.0015211150000000728
15,std,2,1,True,4.855500000022772e-05
16,std,10,5,True,0.0006211410000007689
17,std,657,9,True,0.17091048600000036
18,std,10,8,True,0.0022228159999997388
19,std,4,3,True,0.0007266870000002257
20,std,4,3,True,0.0014642750000000149
21,std,4,3,True,0.0010062020000001226
22,std,4,3,True,0.0004147220000003671
23,std,15,14,True,0.00458523900000074
24,std,4,3,True,0.0006848340000003006
25,std,3,2,True,0.00030891100000030036
26,std,9314,0,False,0.24447240800000003
27,std,393,0,False,0.020523781999999713
28,std,71,3,True,0.009210447000000066
29,std,11,10,True,0.0029789909999999864
30,std,46,8,True,0.011174338000000006
31,std,4,3,True,0.0007544089999997894
32,std,841,0,False,0.13966271299999988
33,std,4,3,True,0.002942191999999899
34,std,2,1,True,5.3344999999538345e-05
35,std,4,3,True,0.0004665969999999575
36,std,359,0,False,0.027621379999999363
37,std,1686,8,True,0.07288499700000006
38,std,12,3,True,0.003054086999999761
39,std,4,3,True,0.0014926619999995339
40,std,7,6,True,0.0007259670000001606
41,std,6,4,True,0.001353472999999994
42,std,49,9,True,0.008760121999999981
43,std,4,3,True,0.0015141160000000653
44,std,4,3,True,7.640000000019853e-05
45,std,10,9,True,0.004538231999999809
46,std,74,10,True,0.010250204000000096
47,std,4,3,True,0.0017380940000002454
48,std,126,6,True,0.0033257520000002927
49,std,91,9,True,0.023591671000000147
50,std,43,3,True,0.0050070799999994975
51,std,7,6,True,0.00234129499999991
52,std,222,0,False,0.02431542199999992
53,std,10,9,True,0.002372732999999627
54,std,4,3,True,0.0014805879999997273
55,std,17,9,True,0.0048454799999992915
56,std,1514,13,True,0.05611586699999993
57,std,2,1,True,0.00022822000000033427
58,std,7,6,True,0.0017075440000002828
59,std,30014,15,True,0.4419024750000009
60,std,4,3,True,0.00034344500000038636
61,std,4,3,True,0.0007425459999996775
62,std,4,3,True,0.0016039359999986402
63,std,12,3,True,0.0014089329999986688
64,std,257714,0,False,3.4570769639999988
65,std,4,3,True,0.0016039649999992633
66,std,4,3,True,0.0007263640000001459
67,std,4,3,True,8.312499999973966e-05
68,std,7,6,True,0.00016601899999990621
69,std,12,3,True,0.00015993999999963648
70,std,9906,8,True,0.6767517950000013
71,std,4,3,True,0.00013782499999948072
72,std,10,9,True,0.0013494999999998925
73,std,466,8,True,0.011175076999998979
74,std,10,9,True,0.002534316000000203
75,std,46,6,True,0.00592356000000116
76,std,2,1,True,5.6142000000036774e-05
77,std,7,6,True,0.000799463999999972
78,std,4,3,True,0.014888442000000168
79,std,15,6,True,0.00024821799999941163
80,std,11,10,True,0.0015630919999995996
81,std,4,3,True,0.0015340830000010186
82,std,4,3,True,0.0004960600000014637
83,std,479,15,True,0.20554540500000051
84,std,2591,0,False,0.163280576
85,std,15,6,True,0.001310489999999831
86,std,12,3,True,0.0013961580000003693
87,std,43,3,True,0.00530109900000042
88,std,4,3,True,0.0024618270000011933
89,std,5,4,True,0.00011156700000114483
90,std,10,9,True,0.004968935999999147
91,std,1468,0,False,0.07443550999999893
92,std,4,3,True,0.001604278000000292
93,std,4,3,True,0.00010705800000110344
94,std,7,6,True,0.00013075800000095228
95,std,10,9,True,0.002081613999999732
96,std,18,8,True,0.0005822119999994158
97,std,4350,0,False,0.05850336800000022
98,std,4,3,True,0.0003743769999999813
99,std,4,3,True,9.924099999913949e-05
100,std,18188,0,False,0.38710308699999985
