goal	rule	score
visited(golasgil, gondor)	visited(golasgil, gondor)	1
visited(I, L)	visited(ghân, rohan)	1
race(faramir, human)	race(faramir, human)	1
visited(X, I)	visited(faramir, gondor)	1
visited(L, I)	visited(arwen, rivendell)	1
visited(Z, lothlorien)	visited(haldir, lothlorien)	1
character(I)	character(gamgee)	1
visited(elendil, I)	visited(elendil, mordor)	1
visited(R1, I)	visited(eomer, rohan)	1
visited(R, I)	visited(frodo, mordor)	1
visited(R, I)	visited(galadriel, lothlorien)	1
companion(celeborn, haldir)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX1, I)	visited(elendil, mordor)	1
visited(X, I)	visited(bombadil, shire)	1
race(X, I)	race(gandalf, maia)	1
race(I, L)	race(thorin, dwarf)	1
visited(X, I)	visited(hama, rohan)	1
visited(L, gondor)	visited(tuor, gondor)	1
race(R2, I)	race(frodo, hobbit)	1
visited(_EX0, I)	visited(isildur, mordor)	1
visited(X, rohan)	visited(erkenbrand, rohan)	1
visited(Z, I)	visited(shagrat, mordor)	1
visited(R1, isengard)	visited(lurtz, isengard)	1
visited(_EX1, I)	visited(derufin, gondor)	1
visited(I, L)	visited(fastred, shire)	1
visited(R, rivendell)	visited(sam, rivendell)	1
companion(L, balin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R, I)	visited(gamgee, shire)	1
visited(R1, I)	visited(golasgil, gondor)	1
visited(_EX1, gondor)	visited(dervorin, gondor)	1
visited(bombadil, I)	visited(bombadil, shire)	1
visited(I, L)	visited(eowyn, rohan)	1
visited(R1, I)	visited(gollum, mordor)	1
race(_EX1, I)	race(theoden, human)	1
visited(_EX0, mordor)	visited(sauron, mordor)	1
visited(aragorn, I)	visited(aragorn, rivendell)	1
visited(L, I)	visited(fladrif, fangorn)	1
visited(Z, I)	visited(isildur, mordor)	1
visited(L, moria)	visited(aragorn, moria)	1
race(R2, I)	race(isildur, human)	1
character(I)	character(pippin)	1
visited(I, moria)	visited(gollum, moria)	1
visited(R2, I)	visited(elrohir, rivendell)	1
visited(Y, shire)	visited(bilbo, shire)	1
visited(R1, shire)	visited(goldberry, shire)	1
visited(R1, gondor)	visited(forlong, gondor)	1
visited(R, gondor)	visited(dervorin, gondor)	1
alignment(gimli, good)	alignment(gimli, good)	1
race(_EX1, I)	race(eowyn, human)	1
visited(Y, gondor)	visited(duinhir, gondor)	1
visited(R1, I)	visited(isildur, mordor)	1
visited(R, mordor)	visited(sauron, mordor)	1
visited(X, I)	visited(celeborn, lothlorien)	1
visited(Y, I)	visited(celeborn, lothlorien)	1
visited(R, rivendell)	visited(merry, rivendell)	1
visited(X, I)	visited(treebeard, fangorn)	1
visited(Y, rohan)	visited(ghân, rohan)	1
visited(I, rohan)	visited(erkenbrand, rohan)	1
character(I)	character(boromir)	1
character(I)	character(balin)	1
visited(Y, lothlorien)	visited(celeborn, lothlorien)	1
visited(Z, shire)	visited(frodo, shire)	1
visited(R1, I)	visited(tuor, gondor)	1
race(I, L)	race(merry, hobbit)	1
visited(R1, shire)	visited(bilbo, shire)	1
visited(_EX1, I)	visited(shagrat, mordor)	1
visited(R2, I)	visited(balin, moria)	1
visited(Z, shire)	visited(goldilocks, shire)	1
visited(Z, rivendell)	visited(pippin, rivendell)	1
visited(R1, fangorn)	visited(finglas, fangorn)	1
visited(Y, rivendell)	visited(elwing, rivendell)	1
visited(_EX0, I)	visited(erkenbrand, rohan)	1
visited(R, bree)	visited(butterbur, bree)	1
visited(R, rivendell)	visited(elladan, rivendell)	1
visited(Y, I)	visited(gamling, rohan)	1
visited(Y, I)	visited(legolas, moria)	1
race(R2, I)	race(haldir, elf)	1
carries(I, ring)	carries(frodo, ring)	1
home(R, rivendell)	home(glorfindel, rivendell)	1
fellowship(pippin)	fellowship(X) :- visited(X, rivendell), alignment(X, good)	1
visited(X, I)	visited(boromir, moria)	1
race(X, I)	race(galadriel, elf)	1
alignment(R2, good)	alignment(galadriel, good)	1
race(_EX1, I)	race(gimli, dwarf)	1
visited(R, moria)	visited(gandalf, moria)	1
visited(Z, I)	visited(bilbo, rivendell)	1
visited(_EX0, shire)	visited(hamfast, shire)	1
visited(balin, moria)	visited(balin, moria)	1
visited(R1, mordor)	visited(gorbag, mordor)	1
visited(I, mirkwood)	visited(radagast, mirkwood)	1
visited(X, I)	visited(gothmog, mordor)	1
visited(Y, I)	visited(gothmog, mordor)	1
visited(X, I)	visited(thranduil, mirkwood)	1
character(I)	character(shagrat)	1
visited(Z, gondor)	visited(idril, gondor)	1
visited(_EX1, I)	visited(balin, moria)	1
race(R2, dwarf)	race(balin, dwarf)	1
visited(Y, fangorn)	visited(leaflock, fangorn)	1
visited(_EX1, iron_hills)	visited(dain, iron_hills)	1
fellowship(R2)	fellowship(X) :- visited(X, rivendell), alignment(X, good)	1
visited(_EX0, rohan)	visited(erkenbrand, rohan)	1
visited(X, shire)	visited(elfstan, shire)	1
visited(I, mordor)	visited(gothmog, mordor)	1
visited(X, I)	visited(frodo, shire)	1
visited(Y, I)	visited(frodo, shire)	1
visited(_EX0, rohan)	visited(ghân, rohan)	1
visited(R1, I)	visited(brealight, fangorn)	1
visited(_EX0, I)	visited(leaflock, fangorn)	1
visited(X, I)	visited(goldilocks, shire)	1
visited(_EX1, I)	visited(gorbag, mordor)	1
visited(I, mirkwood)	visited(thranduil, mirkwood)	1
visited(_EX1, ithilien)	visited(mablung, ithilien)	1
character(I)	character(bergil)	1
visited(X, I)	visited(bergil, gondor)	1
visited(I, rivendell)	visited(boromir, rivendell)	1
companion(aragorn, gimli)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(I, mordor)	visited(gorbag, mordor)	1
visited(I, L)	visited(bombadil, shire)	1
race(R2, dwarf)	race(thorin, dwarf)	1
visited(Z, I)	visited(beregond, gondor)	1
visited(_EX0, erebor)	visited(thorin, erebor)	1
alignment(X, good)	alignment(gandalf, good)	1
visited(R, I)	visited(celeborn, lothlorien)	1
home(R, gondor)	home(denethor, gondor)	1
visited(Z, mirkwood)	visited(radagast, mirkwood)	1
visited(_EX1, shire)	visited(gamgee, shire)	1
visited(R1, shire)	visited(maggot, shire)	1
companion(gandalf, pippin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Z, I)	visited(leaflock, fangorn)	1
visited(R, I)	visited(fladrif, fangorn)	1
