query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.000521653999999927
2,std,18,10,True,0.004185643000000461
3,std,3,2,True,0.0007352159999998165
4,std,1000000,0,False,68.25372963400001
5,std,18,4,True,0.003944305999993958
6,std,15,4,True,0.0037491620000054127
7,std,1000000,0,False,70.79664247500001
8,std,1000000,0,False,66.96185884299999
9,std,2,1,True,0.0003970049999963976
10,std,2,1,True,0.0005337529999849266
11,std,8,6,True,0.002227535000002945
12,std,3,2,True,0.0007163939999941249
13,std,7,5,True,0.0018203429999914533
14,std,7,6,True,0.0016893299999765077
15,std,1000000,0,False,86.68847383599999
16,std,16,5,True,0.004542261999972652
17,std,37,9,True,0.02115273200001866
18,std,18,4,True,0.003687436000006983
19,std,2,1,True,0.00036635700001852456
20,std,5,4,True,0.0011613880000140853
21,std,6,5,True,0.0014864109999734865
22,std,3,2,True,0.00034184600002618026
23,std,1000000,0,False,65.87257496899997
24,std,33,5,True,0.0065001099999904
25,std,1000000,0,False,63.557720054000015
26,std,1000000,0,False,74.70203149100001
27,std,6,5,True,0.001554397000006702
28,std,2,1,True,0.00045866799996474583
29,std,2,1,True,0.0005002730000001065
30,std,18,4,True,0.0014957799999706367
31,std,3,2,True,0.0005918289999726767
32,std,3,2,True,0.000530050999998366
33,std,3,2,True,0.0006437569999775405
34,std,10,3,True,0.002454749000037282
35,std,18,4,True,0.0015764920000265192
36,std,58,6,True,0.0057903269999997065
37,std,18,4,True,0.0011003429999618675
38,std,1000000,0,False,68.23251233500002
39,std,23,8,True,0.018695953000019472
40,std,4,3,True,0.00097761699998955
41,std,18,4,True,0.00147273100003531
42,std,2,1,True,0.0004616009999836024
43,std,4,3,True,0.0010542060000489073
44,std,1000000,0,False,64.36776500500002
45,std,11,5,True,0.0026266650000934533
46,std,23,11,True,0.0034214419999898382
47,std,3,2,True,0.0005728830000180096
48,std,10,9,True,0.0027987199999870427
49,std,20,8,True,0.00503242100000989
50,std,79,4,True,0.006944676999978583
51,std,33,5,True,0.0014635350000844483
52,std,1000000,0,False,66.19948534000002
53,std,8,7,True,0.001775565999992068
54,std,2,1,True,0.0004388790000575682
55,std,95,5,True,0.010148364000087895
56,std,1000000,0,False,85.51059476600005
57,std,7,6,True,0.001534471000013582
58,std,15,6,True,0.003516251999940323
59,std,4,3,True,0.0010551080000595903
60,std,3,2,True,0.0007413390000010622
61,std,1000000,0,False,73.69289599499996
62,std,18,4,True,0.004243858999984695
63,std,62,4,True,0.011047681000036391
64,std,4,3,True,0.0009432299999616589
65,std,1000000,0,False,70.84950090400002
66,std,2,1,True,0.0004024190000109229
67,std,4,3,True,0.0008917669999846112
68,std,69,5,True,0.00844989400002305
69,std,4,3,True,0.0009458250000307089
70,std,1000000,0,False,92.48869841300007
71,std,2,1,True,0.0006360610000228917
72,std,3,2,True,0.0008211990000290825
73,std,22,8,True,0.0062450400000670925
74,std,4,3,True,0.000894872000117175
75,std,7,6,True,0.0017073420001452178
76,std,1000000,0,False,71.30797007799993
77,std,4,3,True,0.0010247540001273592
78,std,1000000,0,False,73.45250067699999
79,std,18,4,True,0.004017915000076755
80,std,33,7,True,0.007318104999967545
81,std,35,6,True,0.006633383000007598
82,std,143,2,True,0.012519600999894465
83,std,5,4,True,0.0011591850000058912
84,std,2463,10,True,0.06783607100010158
85,std,4,3,True,0.0008999060000860482
86,std,5,4,True,0.0012908319999951345
87,std,18,4,True,0.0012686550001035357
88,std,3,2,True,0.0004974789999323548
89,std,5,3,True,0.0011517390000790328
90,std,1000000,0,False,68.6502508420001
91,std,60963,6,True,3.6919206770000983
92,std,7,5,True,0.0019571279999581748
93,std,18,4,True,0.0012400499999785097
94,std,18,4,True,0.0011193360001016117
95,std,1000000,0,False,61.217079268999896
96,std,3,2,True,0.0009950159999334574
97,std,1000000,0,False,85.870093946
98,std,3,2,True,0.0008638589999918622
99,std,5,4,True,0.0012383100001898129
100,std,3,2,True,0.0007077590000790224
