query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,160,5,True,2.3478797480000004
2,ming,2,1,True,0.059501650000001405
3,ming,2,1,True,0.08025960600000026
4,ming,3,2,True,0.01010838400000047
5,ming,3,2,True,0.014686405999999153
6,ming,2,1,True,0.011959465000000336
7,ming,3,2,True,0.015174250999999472
8,ming,3,2,True,0.09872466599999896
9,ming,426,5,True,17.525949369
10,ming,3,2,True,0.04956638599999863
11,ming,3,2,True,0.049456461999998425
12,ming,3,2,True,0.09383831500000284
13,ming,5,4,True,0.12639787200000185
14,ming,2,1,True,0.07927786600000175
15,ming,4,3,True,0.033018058999999766
16,ming,2,1,True,0.05577419400000139
17,ming,3,2,True,0.09503869999999992
18,ming,4,3,True,0.03326782799999961
19,ming,4,3,True,0.06256544600000069
20,ming,9,7,True,0.281144218999998
21,ming,2,1,True,0.012585574999999238
22,ming,3,2,True,0.05907634699999775
23,ming,3,2,True,0.014379389000001908
24,ming,3,2,True,0.014177028000002423
25,ming,2,1,True,0.08157433699999928
26,ming,2,1,True,0.07946071900000007
27,ming,6,5,True,0.15376718299999936
28,ming,5,4,True,0.02582739200000006
29,ming,3,2,True,0.009754757999999697
30,ming,5,4,True,0.03566261300000306
31,ming,3,2,True,0.0289003259999987
32,ming,12,4,True,0.1811893480000002
33,ming,3,2,True,0.023742654999999502
34,ming,7,6,True,0.19454500600000202
35,ming,3,2,True,0.0144958079999995
36,ming,3,2,True,0.013949506999999528
37,ming,10,5,True,0.10151501600000046
38,ming,2,1,True,0.08087706900000313
39,ming,1413,7,True,0.44284860899999856
40,ming,2,1,True,0.05600851400000195
41,ming,2,1,True,0.009092335000001839
42,ming,4,3,True,0.04128892100000314
43,ming,9,8,True,0.25056832900000003
44,ming,3,2,True,0.0502641780000026
45,ming,4,3,True,0.023519326000002394
46,ming,2,1,True,0.07694204800000293
47,ming,2,1,True,8.081600000053868e-05
48,ming,3,2,True,0.013689963000000915
49,ming,3,2,True,0.011658028999999459
50,ming,2,1,True,0.002756747999999476
51,ming,3,2,True,0.04886790900000193
52,ming,4,3,True,0.06267143400000208
53,ming,2,1,True,0.07815383999999881
54,ming,6,5,True,0.08526878900000057
55,ming,217,6,True,1.135056855000002
56,ming,2,1,True,8.377600000386565e-05
57,ming,3,2,True,0.012729190000001722
58,ming,4,3,True,0.03584220100000124
59,ming,3,2,True,0.011991246000000899
60,ming,5,4,True,0.09751038200000295
61,ming,3,2,True,0.00011602499999696647
62,ming,4,3,True,0.01235595900000419
63,ming,3,2,True,0.010157747999997468
64,ming,2,1,True,0.07151084299999866
65,ming,3,2,True,0.009977892999998517
66,ming,6,3,True,0.058985007000003975
67,ming,3,2,True,0.012158631999994896
68,ming,27,3,True,0.023672611000002064
69,ming,2,1,True,7.74210000002995e-05
70,ming,3,2,True,0.009876046999998778
71,ming,964,5,True,6.4039581110000015
72,ming,3,2,True,0.00010831900000596306
73,ming,6,5,True,0.07748535700000048
74,ming,2,1,True,0.05548145399999527
75,ming,2,1,True,0.010800308999996844
76,ming,3,2,True,0.00927591899999669
77,ming,3,2,True,0.0063638570000037475
78,ming,2,1,True,0.07698742799999536
79,ming,188,7,True,7.0698858050000055
80,ming,10,9,True,0.2012957809999989
81,ming,2,1,True,0.07623158199999835
82,ming,2,1,True,0.07769521400000201
83,ming,2,1,True,8.907000000135668e-05
84,ming,4,3,True,0.028444343999993293
85,ming,2,1,True,0.07643180200000188
86,ming,2,1,True,6.804899999934833e-05
87,ming,3,2,True,0.008949702999998976
88,ming,5,4,True,0.08011436500000002
89,ming,3,2,True,0.0056187380000025655
90,ming,3,2,True,0.009464809999997215
91,ming,2,1,True,0.0082736629999971
92,ming,4,3,True,0.0172313079999995
93,ming,18,3,True,0.023618826000003423
94,ming,3,2,True,0.009667941000003566
95,ming,3,2,True,0.004433632000001353
96,ming,2,1,True,0.008616596000003085
97,ming,2,1,True,0.05634596099999811
98,ming,3,2,True,9.34500000013827e-05
99,ming,3,2,True,0.01101732900000485
100,ming,3,2,True,0.010481687999998712
