query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0020988510000004013
2,std,2,1,True,0.0003503919999996441
3,std,2,1,True,0.0005812729999998822
4,std,4,2,True,0.0009334970000001164
5,std,18,2,True,0.01009686499999951
6,std,2,1,True,0.00030650099999984803
7,std,18,2,True,0.008595069000000066
8,std,3,2,True,0.00081219499999996
9,std,426,5,True,0.325333659
10,std,18,2,True,0.00836295900000028
11,std,18,2,True,0.008542813000000038
12,std,3,2,True,0.0007629150000001417
13,std,36,4,True,0.011680421999999524
14,std,2,1,True,0.0004353940000001444
15,std,4,3,True,0.0008698120000003584
16,std,2,1,True,0.00029437099999984895
17,std,3,2,True,0.0007294929999996924
18,std,4,3,True,0.0010973009999997174
19,std,4,3,True,0.0010105309999994816
20,std,61,8,True,0.025189020000000006
21,std,2,1,True,0.00032399999999999096
22,std,3,2,True,0.0005557539999996308
23,std,18,2,True,0.0022587229999997405
24,std,3,2,True,0.0008112120000003387
25,std,2,1,True,0.000403609000000138
26,std,2,1,True,0.0003896929999998022
27,std,18,5,True,0.006646280000000004
28,std,19,4,True,0.01539490199999971
29,std,4,2,True,0.0008677249999999859
30,std,41,4,True,0.00948353900000054
31,std,3,2,True,0.0008721170000001166
32,std,22,4,True,0.0036317580000000405
33,std,3,2,True,0.0006899699999998177
34,std,57,8,True,0.020539835999999312
35,std,18,2,True,0.007757762999999862
36,std,18,2,True,0.006911858999999687
37,std,6,5,True,0.0019878059999998143
38,std,2,1,True,0.00040436699999979453
39,std,315,7,True,0.050144839999999746
40,std,2,1,True,0.000320757000000782
41,std,2,1,True,0.0002863159999995091
42,std,4,3,True,0.000988505999999667
43,std,439,8,True,0.04837398999999998
44,std,18,2,True,0.00843215300000022
45,std,4,3,True,0.0012225539999999313
46,std,2,1,True,0.00042902399999977803
47,std,2,1,True,4.788000000033321e-05
48,std,3,2,True,0.0007851380000003516
49,std,18,2,True,0.0011118449999996116
50,std,2,1,True,0.00030683900000028075
51,std,18,2,True,0.00850981800000028
52,std,71,3,True,0.015083579000000569
53,std,2,1,True,0.0006625280000003286
54,std,6,5,True,0.0018968219999999647
55,std,8,6,True,0.0020493840000002095
56,std,2,1,True,5.328100000046021e-05
57,std,18,2,True,0.007539894999999852
58,std,4,3,True,0.0010898620000006076
59,std,18,2,True,0.000999761000000099
60,std,5,4,True,0.0011926890000006907
61,std,3,2,True,6.238300000038777e-05
62,std,4,3,True,0.0010946970000000888
63,std,3,2,True,0.0007416779999998013
64,std,2,1,True,0.0003925730000000627
65,std,4,2,True,0.0009437340000006955
66,std,5,3,True,0.000907720999999917
67,std,4,2,True,0.0007775620000005645
68,std,6,3,True,0.0007360859999998581
69,std,2,1,True,0.0002745549999998431
70,std,3,2,True,0.0006007550000006745
71,std,18,5,True,0.0023426899999998696
72,std,3,2,True,6.308200000049169e-05
73,std,7,5,True,0.001153718999999498
74,std,2,1,True,0.0002711519999998302
75,std,2,1,True,0.00026343299999975756
76,std,4,2,True,0.000758979000000437
77,std,17,2,True,0.005766160000000298
78,std,2,1,True,0.00042595899999930964
79,std,35,7,True,0.0032353559999993564
80,std,37,9,True,0.006721894000000006
81,std,2,1,True,0.0004192390000001822
82,std,2,1,True,0.002885958000000244
83,std,2,1,True,0.0003132910000003264
84,std,4,3,True,0.001386570000000198
85,std,2,1,True,0.0004103639999994968
86,std,2,1,True,0.0002805150000000367
87,std,3,2,True,0.0005734059999999985
88,std,5,4,True,0.0014761339999997958
89,std,3,2,True,0.0006075870000001871
90,std,3,2,True,0.000660539000000071
91,std,2,1,True,0.0002724460000003148
92,std,4,3,True,0.0006003120000004358
93,std,18,3,True,0.007171432999999894
94,std,4,2,True,0.0007927859999998788
95,std,3,2,True,0.0002599400000002916
96,std,2,1,True,0.00027181200000025996
97,std,2,1,True,0.0002681300000002551
98,std,3,2,True,5.6663999999706505e-05
99,std,18,2,True,0.001306283999999991
100,std,18,2,True,0.0009827170000002994
