goal	rule	score
p4(X0, X4)	p4(a64, a96)	1
p4(X0, X1)	p4(a34, a74)	1
p3(X0, X7)	p3(a91, a66)	1
p4(X3, X7)	p4(a24, a74)	1
p3(a98, X0)	p3(a98, a4)	1
p3(X1, X0)	p3(a20, a39)	1
p3(X5, X0)	p3(a19, a17)	1
p3(X4, X0)	p3(a11, a36)	1
p8(a20)	p8(a20)	1
p7(X0)	p7(a32)	1
p7(X5)	p7(a73)	1
p3(X1, X0)	p3(a17, a82)	1
p4(X5, X6)	p4(a85, a82)	1
p3(X9, X0)	p3(a80, a4)	1
p3(a45, X6)	p3(a45, a93)	1
p3(X7, X0)	p3(a15, a14)	1
p4(X0, X4)	p4(a55, X0) :- p3(X0, X9)	1
p7(X0)	p7(a31)	1
p4(X8, X2)	p4(a24, a74)	1
p4(X5, X6)	p4(a30, a11)	1
p3(X0, X3)	p3(a1, a18)	1
p4(X8, X2)	p4(a15, a4)	1
p3(X7, X0)	p3(a98, a28)	1
p5(a10, X2)	p5(a10, a4)	1
p4(X0, X9)	p4(a16, X5) :- p5(a10, X5)	1
p4(X6, X3)	p4(a20, a47)	1
p3(a0, a0)	p3(a0, a0)	1
p4(X8, X3)	p4(a36, a52)	1
p4(X6, X3)	p4(a10, a11)	1
p4(a55, a21)	p4(a55, X0) :- p3(X0, X9)	1
p8(X0)	p8(a67)	1
p4(X2, X4)	p4(a12, a26)	1
p3(X8, X0)	p3(a41, a45)	1
p4(X0, a33)	p4(a55, X0) :- p3(X0, X9)	1
p7(a17)	p7(a17)	1
p7(X6)	p7(a12)	1
p1(X0, a9, a68, a3, a13)	p1(a29, a9, a68, a3, a13)	1
p3(X2, X0)	p3(a48, a11)	1
p0(X7)	p0(a38)	1
p3(X3, X0)	p3(a46, a0)	1
p3(X5, X0)	p3(a80, a4)	1
p7(X8)	p7(a55)	1
p3(X4, X0)	p3(a46, a0)	1
p3(X0, X8)	p3(a98, a28)	1
p6(a12, a12, X2, X0)	p6(a12, a12, a32, a18)	1
p3(X2, X0)	p3(a88, a22)	1
p2(X0)	p2(a25)	1
p6(X0, X3, X4, X1)	p6(a13, a12, a55, a75)	1
p3(X3, X0)	p3(a41, a45)	1
p7(X1)	p7(a23)	1
p7(X0)	p7(a64)	1
p4(X1, X0)	p4(a0, a65)	1
p0(X8)	p0(a27)	1
p4(X8, X2)	p4(a0, a61)	1
p6(X1, a12, X0, X2)	p6(a12, a12, a32, a18)	1
p6(X5, a0, a36, X0)	p6(a2, a0, a36, a58)	1
p3(X1, X0)	p3(a91, a66)	1
p2(X0)	p2(a63)	1
p4(X0, a0)	p4(a55, X0) :- p3(X0, X9)	1
p3(X3, X0)	p3(a13, a19)	1
p3(X9, X0)	p3(a22, a15)	1
p3(X9, X0)	p3(a12, a17)	1
p3(X4, X0)	p3(a33, a19)	1
p4(X1, X0)	p4(a36, a52)	1
p6(X0, a0, X7, X1)	p6(a0, a0, a33, a77)	1
p4(X1, X0)	p4(a12, a26)	1
p5(a10, a2)	p5(a10, a2)	1
p4(X0, X4)	p4(a15, a4)	1
p7(X8)	p7(a53)	1
p3(X1, X0)	p3(a11, a36)	1
p4(X7, X5)	p4(a34, a74)	1
p3(X8, X0)	p3(a0, a0)	1
p0(X7)	p0(a23)	1
p4(X0, X1)	p4(a46, a33)	1
p3(a91, X0)	p3(a91, a66)	1
p3(X0, X1)	p3(a22, a5)	1
p7(X7)	p7(a13)	1
p3(X0, X7)	p3(a0, a71)	1
p3(X8, X0)	p3(a15, a14)	1
p3(X2, X0)	p3(a12, a17)	1
p4(X0, X5)	p4(a74, a1)	1
p3(X3, X0)	p3(a80, a4)	1
p4(X6, X9)	p4(a0, a65)	1
p3(X0, X3)	p3(a48, a11)	1
p3(X6, X0)	p3(a48, a11)	1
p5(X1, X0)	p5(a34, a27)	1
p3(X3, X0)	p3(a10, a1)	1
p3(X4, X0)	p3(a80, a4)	1
p4(X0, X5)	p4(a25, a32)	1
p4(X0, X3)	p4(a64, a96)	1
p3(X4, X0)	p3(a10, a1)	1
p4(X5, X6)	p4(a34, a74)	1
p3(X0, X3)	p3(a88, a22)	1
p8(X0)	p8(a89)	1
p3(X6, X0)	p3(a88, a22)	1
p0(X3)	p0(a38)	1
p6(X2, X3, X8, X0)	p6(a24, a42, a0, a0)	1
p5(X1, X0)	p5(a16, a0)	1
p4(X7, X5)	p4(a0, a65)	1
p4(X1, X0)	p4(a2, a13)	1
p7(X3)	p7(a64)	1
p4(X6, X9)	p4(a36, a52)	1
p3(X8, X0)	p3(a1, a18)	1
p2(X0)	p2(a59)	1
p4(X6, X9)	p4(a24, a81)	1
p7(X8)	p7(a12)	1
p3(X4, X0)	p3(a10, a13)	1
p6(X0, a19, X1, X2)	p6(a10, a19, a62, a67)	1
p4(X8, X3)	p4(a0, a0)	1
p7(X6)	p7(a73)	1
p4(X2, X4)	p4(a24, a74)	1
p4(X0, X9)	p4(a51, a20)	1
p7(X1)	p7(a10)	1
