query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.735299608
2,ming,3,2,True,0.03992476300000014
3,ming,2,1,True,0.1559632749999995
4,ming,369120,0,False,374.854073392
5,ming,19639,4,True,50.117404961000034
6,ming,3,2,True,0.015785563999997976
7,ming,3,2,True,0.022082199000010405
8,ming,1000000,0,False,1306.7635395490001
9,ming,2,1,True,0.1573697369999536
10,ming,19,15,True,0.30137296099997
11,ming,2,1,True,0.00011627799995039823
12,ming,2,1,True,0.15741323500014914
13,ming,3,2,True,0.03432964299986452
14,ming,2,1,True,0.014737435999904847
15,ming,2,1,True,0.2593902529999923
16,ming,3,2,True,0.02695633099983752
17,ming,2,1,True,0.021697316999961913
18,ming,29,15,True,1.4156528870000784
19,ming,57894,15,True,149.15600209000013
20,ming,2,1,True,0.015972808000014993
21,ming,39,8,True,21.62823515900004
22,ming,3,2,True,0.03467940600012298
23,ming,2,1,True,0.27387908599985167
24,ming,2,1,True,0.02423000400017372
25,ming,2,1,True,0.2692196870000316
26,ming,3,2,True,0.16275889700000334
27,ming,32,6,True,0.9544273609999436
28,ming,122,5,True,1.7629151670000738
29,ming,2,1,True,0.28477355199993326
30,ming,3,2,True,0.011409442000058334
31,ming,2,1,True,9.091099991564988e-05
32,ming,2,1,True,0.05873463900002207
33,ming,6,5,True,0.4159949559998495
34,ming,2,1,True,0.00010479100001248298
35,ming,21,5,True,14.145970993999981
36,ming,2,1,True,0.00010807799981193966
37,ming,2,1,True,0.1637643520000438
38,ming,2,1,True,0.00011935900010939804
39,ming,2,1,True,0.06939286300007552
40,ming,5,4,True,0.20367145099999107
41,ming,2,1,True,0.00010983499987560208
42,ming,4,3,True,0.046726385000056325
43,ming,185584,6,True,22.714783358999966
44,ming,2,1,True,0.24293045199988228
45,ming,2,1,True,0.020655301000033433
46,ming,5,4,True,0.14882161600007748
47,ming,19,15,True,0.3072248620001119
48,ming,440,4,True,40.793461005000154
49,ming,2,1,True,0.02480566999997791
50,ming,12465,7,True,173.36030181499996
51,ming,10,9,True,2.1096969549998903
52,ming,19,6,True,5.94197087900011
53,ming,957,15,True,59.88477710300003
54,ming,433,15,True,20.14921438600004
55,ming,101,6,True,1.9454562910000277
56,ming,2,1,True,0.32665581399987786
57,ming,7,6,True,0.4101714369999172
58,ming,22,15,True,0.41442954299964185
59,ming,18,2,True,8.87885611799993
60,ming,2,1,True,0.03038767599991843
61,ming,2,1,True,0.3144907319997401
62,ming,2,1,True,0.0773363960001916
63,ming,104,8,True,13.814555182999811
64,ming,2,1,True,0.02886166400003276
65,ming,82,15,True,0.8365336980000393
66,ming,112,8,True,6.172863644000245
67,ming,582852,15,True,2933.268218628
68,ming,57,15,True,1.8381144289996882
69,ming,2,1,True,0.02725833399927069
70,ming,2,1,True,0.3761586559994612
71,ming,3,2,True,0.06763477099957527
72,ming,2,1,True,0.0987372889994731
73,ming,2,1,True,0.029727180000008957
74,ming,11,10,True,0.7528795289999834
75,ming,5,4,True,0.6097358540000641
76,ming,409,3,True,65.42714968000018
77,ming,2,1,True,0.09530505099974107
78,ming,69,8,True,13.137710219999462
79,ming,2,1,True,0.35067409299972496
80,ming,3,2,True,0.04852606199983711
81,ming,2,1,True,0.020149645999481436
82,ming,2,1,True,0.032683960999747796
83,ming,3,2,True,0.046974496000075305
84,ming,282,3,True,4.511583024999709
85,ming,18,2,True,24.016779526999926
86,ming,407,5,True,1.399349016999622
87,ming,2,1,True,9.687900001154048e-05
88,ming,3,2,True,0.03497311199953401
89,ming,2,1,True,0.00010416799977974733
90,ming,7,6,True,0.7638328050006749
91,ming,3,2,True,0.07300153400046838
92,ming,273,15,True,11.48286893399927
93,ming,2,1,True,0.08086844500030566
94,ming,5,4,True,0.1466321110001445
95,ming,3,2,True,0.18884087300011743
96,ming,4,3,True,0.0978415279996625
97,ming,2,1,True,0.027456730999801948
98,ming,2,1,True,0.016491162999955122
99,ming,43,15,True,2.9659086719993866
100,ming,2,1,True,0.023382426999887684
